"Name","State","Created","Runtime","Sweep","alpha","base_learning_rate","batch_size","beta","dropout","epochs","input_shape","l2_reg","lr_multiplier","task","epoch","train_loss","val_acc","val_auc","val_dice","val_dice_c0","val_dice_c1","val_dice_manual","val_iou","val_iou_c0","val_iou_c1","val_iou_manual","val_loss","val_sens","val_spec"
"daily-sweep-51","finished","2025-07-19T10:26:18.000Z","5769","","2","0.0002","128","0.5","0.16394361807580685","40","[256,256,1]","0.000023323597927059305","0.8550631650944773","multitask","40","0.5569533294155484","0.49023090586145646","0.5222874778622772","0.5643812417984009","","","0.566335654258728","0.4259316325187683","","","","2.6255456447601317","",""
"misunderstood-sweep-50","finished","2025-07-19T08:48:49.000Z","5843","","2","0.0002","64","1","0.17683000273924532","40","[256,256,1]","0.000015642860098196377","0.8082102227274663","multitask","40","0.6551687561330342","0.4511545293072824","0.48463381602250233","0.5804481506347656","","","0.58045584625668","0.442932665348053","","","","2.6240825123257108","",""
"whole-sweep-49","finished","2025-07-19T07:11:29.000Z","5835","","2","0.0002","64","0.5","0.15237395203499868","40","[256,256,1]","0.00001955684903117882","0.9214508487896436","multitask","40","0.6766549632662818","0.4706927175843694","0.4974216064173352","0.5838868021965027","","","0.5836058325237699","0.4468044340610504","","","","2.7749384774102106","",""
"visionary-sweep-48","finished","2025-07-19T05:34:07.000Z","5838","","2","0.0002","64","0.5","0.15415296733704154","40","[256,256,1]","0.000035173246206210594","0.8251716229435875","multitask","40","0.658338949793861","0.48312611012433393","0.5032815918324826","0.5848046541213989","","","0.5847689509391785","0.4484162628650666","","","","2.5835281478034124","",""
"fast-sweep-47","finished","2025-07-19T03:56:38.000Z","5843","","1","0.0002","64","1","0.1607541275643852","40","[256,256,1]","0.00003816124516140262","0.8252968395879454","multitask","40","0.6654080918857029","0.47424511545293074","0.5120585477653923","0.5759161114692688","","","0.5757229195700752","0.4378060698509216","","","","2.6786893208821616","",""
"fast-sweep-46","finished","2025-07-19T02:19:05.000Z","5849","","1","0.0002","64","2","0.1547466294481541","40","[256,256,1]","0.00002222979184124784","0.8240454365707696","multitask","40","0.6632809255804334","0.47602131438721135","0.4987759141577248","0.5730749368667603","","","0.5728385580910577","0.4333151876926422","","","","2.642137500974867","",""
"lilac-sweep-45","finished","2025-07-19T00:40:21.000Z","5922","","2","0.0002","32","2","0.1683268826903847","40","[256,256,1]","0.000019624092409047866","0.8031418137628583","multitask","40","0.5899910108152643","0.4724689165186501","0.4792426294405667","0.546128511428833","","","0.5471998188230727","0.4075365662574768","","","","2.433336933453878","",""
"cool-sweep-44","finished","2025-07-18T23:01:51.000Z","5908","","2","0.0002","32","0.5","0.2444084267391207","40","[256,256,1]","0.000010837961404482258","0.8397694358089498","multitask","40","0.5432873364672604","0.4955595026642984","0.4911188665485988","0.5661360025405884","","","0.5664624869823456","0.431095838546753","","","","2.381907516055637","",""
"sage-sweep-43","finished","2025-07-18T21:22:35.000Z","5951","","1","0.0002","64","2","0.1544193347995857","40","[256,256,1]","0.00001567602260462424","0.8170953468474593","multitask","40","0.6767939130465189","0.4920071047957371","0.49104724450463594","0.5733119249343872","","","0.573117368751102","0.434019535779953","","","","2.631711562474569","",""
"dauntless-sweep-42","finished","2025-07-18T19:42:08.000Z","6021","","1","0.0002","64","2","0.17381708619006167","40","[256,256,1]","0.00001621423743371274","0.8042007524967383","multitask","40","0.6777516120956057","0.4866785079928952","0.500696687154912","0.5803823471069336","","","0.5802194078763326","0.44201019406318665","","","","2.8569165335761175","",""
"helpful-sweep-41","finished","2025-07-18T18:01:56.000Z","6005","","1","0.0002","64","1","0.15207066633410116","40","[256,256,1]","0.00001862379897821313","0.8172534361080082","multitask","40","0.6595108821278527","0.47602131438721135","0.4940553703510782","0.5837001204490662","","","0.5835562017228868","0.4467776417732239","","","","2.7949902481502957","",""
"rosy-sweep-40","finished","2025-07-18T16:21:32.000Z","6017","","2","0.0002","64","1","0.15174133310957122","40","[256,256,1]","0.000014685553590663018","0.8559983686951624","multitask","40","0.6866974319730487","0.45293072824156305","0.4866392332534639","0.5533788204193115","","","0.5533597535557218","0.4103963971138001","","","","2.811192353566488","",""
"scarlet-sweep-39","finished","2025-07-18T14:42:23.000Z","5946","","2","0.0002","128","2","0.1698276469209235","40","[256,256,1]","0.000010732652294316704","0.8804476375145687","multitask","40","0.5705241433211735","0.49733570159857904","0.5189733305552662","0.5667443871498108","","","0.5666280865669251","0.4276982843875885","","","","2.6633325099945067","",""
"noble-sweep-38","finished","2025-07-18T13:03:15.000Z","5944","","2","0.0002","128","0.5","0.17738273053511008","40","[256,256,1]","0.00002389843105232037","0.8140428433591338","multitask","40","0.5581273237864176","0.5115452930728241","0.5329982289821857","0.560247004032135","","","0.561481487751007","0.42162469029426575","","","","2.562324857711792","",""
"golden-sweep-37","finished","2025-07-18T11:22:43.000Z","6029","","2","0.0002","64","0.5","0.15755815668950712","40","[256,256,1]","0.000015121212353426748","1.0252419615691422","multitask","40","0.6850610744385492","0.458259325044405","0.4683300343785811","0.5667892694473267","","","0.5667313800917732","0.4256154894828797","","","","2.792085197236803","",""
"swept-sweep-36","finished","2025-07-18T09:43:20.000Z","5957","","2","0.0002","128","0.5","0.17148930674478102","40","[256,256,1]","0.000026136093427546337","1.1666763704461196","multitask","40","0.5657705324036735","0.47602131438721135","0.4846989269715595","0.5705661773681641","","","0.5704079866409302","0.43338561058044434","","","","2.6712541580200195","",""
"worldly-sweep-35","finished","2025-07-18T08:04:52.000Z","5900","","2","0.0002","128","2","0.17426546403778603","40","[256,256,1]","0.000020239826605522715","0.8006467683399727","multitask","40","0.5584561980905987","0.4937833037300178","0.519976039170747","0.5662354826927185","","","0.5677917122840881","0.42817360162734985","","","","2.624357843399048","",""
"fiery-sweep-34","finished","2025-07-18T06:24:46.000Z","6000","","2","0.0002","64","0.5","0.16424560614680547","40","[256,256,1]","0.000012976663529070028","0.85647289410481","multitask","40","0.6881790970052991","0.47424511545293074","0.4998567559120742","0.5780174732208252","","","0.5779264569282532","0.43927252292633057","","","","2.556717210345798","",""
