val/dice,calibration_method,dropout_rate,lr,val/cls_confmat_00,lr_scheduler,architecture,val/multi,Name,val/loss,val/acc,val/cls_confmat_11,train/lr,val/cls_confmat_01,val/iou,val/auc,opt/lr,val/cls_confmat_10,effective_lr
,youden,0.238944644147375,5.09958813075e-05,178,none,simple_cnn,,icy-sweep-4,0.690671708848741,0.591474245115453,155,5.09958813075e-05,153,,0.604659339514533,5.09958813075e-05,77,5.09958813075e-05
,youden,0.202244238227838,0.0001590265886929,204,none,simple_cnn,,polished-sweep-5,0.684337317943573,0.598579040852576,133,0.0001590265886929,127,,0.596325138035212,0.0001590265886929,99,0.0001590265886929
,youden,0.192015686872277,0.0002343693103842,191,warmcos,simple_cnn,,fluent-sweep-3,0.681949840651618,0.602131438721137,148,0.0002343693103842,140,,0.630482341910616,0.0002343693103842,84,0.0002343693103842
,youden,0.231704612087212,0.0002583821636217,191,none,simple_cnn,,lyric-sweep-2,0.682779941293928,0.598579040852576,146,0.0002583821636217,140,,0.634037399729138,0.0002583821636217,86,0.0002583821636217
,youden,0.211703749458796,5.101572988e-05,202,cosine,simple_cnn,,dauntless-sweep-4,0.687950468725628,0.573712255772647,121,5.101572988e-05,129,,0.574213459735389,5.101572988e-05,111,5.101572988e-05
,f1,0.22804508818963,0.0001951644342988,158,none,simple_cnn,,usual-sweep-1,0.69304213921229,0.573712255772647,165,0.0001951644342988,173,,0.616496510053131,0.0001951644342988,67,0.0001951644342988
,youden,0.237392346867649,0.0002074810946008,202,plateau,simple_cnn,,lunar-sweep-3,0.683212836583455,0.603907637655417,138,0.0002074810946008,129,,0.609191061568913,0.0002074810946008,94,0.0002074810946008
,youden,0.230014581574993,5.07969309065e-05,175,cosine,simple_cnn,,smart-sweep-5,0.690782328446706,0.586145648312611,155,5.07969309065e-05,156,,0.604659339514533,5.07969309065e-05,77,5.07969309065e-05
,youden,0.2013218026969,4.67953836738e-05,181,plateau,simple_cnn,,radiant-sweep-4,0.690623773468865,0.595026642984014,154,4.67953836738e-05,150,,0.604802583602459,4.67953836738e-05,78,4.67953836738e-05
,youden,0.22865697333824,6.80928988654e-05,194,plateau,simple_cnn,,glad-sweep-2,0.686558889018165,0.580817051509769,133,6.80928988654e-05,137,,0.57512501302219,6.80928988654e-05,99,6.80928988654e-05
,rate_match,0.186689437839422,0.0001185564150978,173,warmcos,simple_cnn,,olive-sweep-3,0.687886701689826,0.591474245115453,160,0.0001185564150978,158,,0.61929628086259,0.0001185564150978,72,0.0001185564150978
