"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","epochs","filters","kernel_size","learning_rate","method","metric.goal","metric.name","parameters.batch_sizes","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.filterss","parameters.kernel_sizes","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.rotation.distribution","parameters.rotation.max","parameters.rotation.min","parameters.translation.distribution","parameters.translation.max","parameters.translation.min","parameters.zoom.distribution","parameters.zoom.max","parameters.zoom.min","program","rotation","run_cap","translation","zoom","epoch/accuracy","epoch/auc","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/precision","epoch/recall","epoch/val_accuracy","epoch/val_auc","epoch/val_loss","epoch/val_precision","epoch/val_recall"
"grateful-sweep-42","finished","-","","","2025-06-04T09:02:59.000Z","4485","","32","0.4976412328352612","20","64","5","0.000969331446604354","","","","","","","","","","","","","","","","","","","","","","","","0.031788027139001175","","0.06067434093437196","0.07224986862281861","0.6050000190734863","0.6551941633224487","19","0.0009693314204923807","0.6365339756011963","0.5291428565979004","0.3745954632759094","0.6498002409934998","0.7045460939407349","0.6179837584495544","0.5709876418113708","0.598705530166626"
"ethereal-sweep-41","finished","-","","","2025-06-04T08:40:18.000Z","1357","","32","0.16073128103543827","20","16","5","0.0001850053392536076","","","","","","","","","","","","","","","","","","","","","","","","0.1979882808258049","","0.05549291734539863","0.10782464097578633","0.6010000109672546","0.5977054238319397","5","0.00018500533769838512","0.6652207970619202","0.538922131061554","0.21844659745693207","0.5725699067115784","0.5436087846755981","0.6773685812950134","0.40909090638160706","0.08737864345312119"
"woven-sweep-40","finished","-","","","2025-06-04T07:25:37.000Z","4472","","16","0.14792073242052128","20","64","3","0.0005826553290747686","","","","","","","","","","","","","","","","","","","","","","","","0.028219831946502197","","0.1924116717843492","0.06473889256422012","0.609666645526886","0.6102598309516907","19","0.0005826553096994758","0.6621274948120117","0.5704989433288574","0.21278317272663116","0.5752330422401428","0.6198106408119202","0.6606731414794922","0.43589743971824646","0.1100323647260666"
"fearless-sweep-39","finished","-","","","2025-06-04T06:11:13.000Z","4456","","32","0.3722025261115747","20","16","3","0.000838120812232097","","","","","","","","","","","","","","","","","","","","","","","","0.035959866805665965","","0.07803689576962476","0.1388709112761137","0.637666642665863","0.6860848665237427","19","0.0008381208172068","0.6226475834846497","0.5865272879600525","0.4085760414600372","0.6298269033432007","0.6826722025871277","0.6286073923110962","0.5607843399047852","0.46278315782547"
"true-sweep-38","finished","-","","","2025-06-04T04:56:34.000Z","4474","","8","0.1608275430527884","20","32","3","0.0006737442932909132","","","","","","","","","","","","","","","","","","","","","","","","0.012187533419421692","","0.044274784860088845","0.09011767041979751","0.6316666603088379","0.6739593148231506","19","0.0006737443036399782","0.6319495439529419","0.5788207054138184","0.38915857672691345","0.6284953355789185","0.684506356716156","0.6241334676742554","0.5675675868988037","0.40776699781417847"
"happy-sweep-37","finished","-","","","2025-06-04T03:57:04.000Z","3567","","32","0.14938078581501446","20","16","3","0.0006750792390294101","","","","","","","","","","","","","","","","","","","","","","","","0.14058722813639843","","0.09551824923767588","0.17672316366912844","0.6046666502952576","0.6115184426307678","15","0.0006750792381353676","0.6637691259384155","0.5440140962600708","0.25","0.5925433039665222","0.5925478339195251","0.6709263324737549","0.5211267471313477","0.11974109709262848"
"morning-sweep-36","finished","-","","","2025-06-04T02:42:50.000Z","4448","","16","0.12111644586609348","20","32","5","0.0003694877227278846","","","","","","","","","","","","","","","","","","","","","","","","0.10165434384537228","","0.02405475549199343","0.04636741323718637","0.6383333206176758","0.6922626495361328","19","0.0003694877086672932","0.618564248085022","0.5764944553375244","0.4603559970855713","0.651131808757782","0.7094004154205322","0.6162370443344116","0.5802047848701477","0.5501618385314941"
"legendary-sweep-35","finished","-","","","2025-06-04T02:16:22.000Z","1583","","32","0.08911318424004494","20","16","3","0.00021315192111085292","","","","","","","","","","","","","","","","","","","","","","","","0.1681168570714182","","0.06335537453968994","0.11146003401953151","0.5923333168029785","0.5807350873947144","6","0.0002131519140675664","0.6687678098678589","0.5162907242774963","0.1666666716337204","0.5699067711830139","0.5392742156982422","0.6848341822624207","0.4588235318660736","0.25242719054222107"
"whole-sweep-34","finished","-","","","2025-06-04T01:27:44.000Z","2913","","16","0.30416913138411383","20","32","5","0.0007349204874580381","","","","","","","","","","","","","","","","","","","","","","","","0.06932445180717876","","0.02107520965468619","0.17064537013768774","0.6079999804496765","0.6279048323631287","12","0.0007349204970523715","0.6545199155807495","0.5461538434028625","0.28721684217453003","0.636484682559967","0.6581806540489197","0.6692093014717102","0.5584415793418884","0.5566343069076538"
"glad-sweep-33","finished","-","","","2025-06-04T00:13:16.000Z","4460","","32","0.33596553770196547","20","16","3","0.0000560689184988454","","","","","","","","","","","","","","","","","","","","","","","","0.10364309188385046","","0.00042828603576163806","0.18794064201106053","0.6119999885559082","0.6392427682876587","19","0.00005606891863862984","0.6515934467315674","0.5669144988059998","0.24676375091075897","0.5832223892211914","0.5923062562942505","0.6690396666526794","0.4841269850730896","0.1974110007286072"
"chocolate-sweep-32","finished","-","","","2025-06-03T22:58:40.000Z","4470","","8","0.2060633764975976","20","16","5","0.0003475658070133685","","","","","","","","","","","","","","","","","","","","","","","","0.05207728959706288","","0.0913330971851138","0.041608955130057","0.6356666684150696","0.6804540157318115","19","0.0003475658013485372","0.6255359053611755","0.57953280210495","0.42152103781700134","0.616511344909668","0.6635256409645081","0.6383852958679199","0.5483871102333069","0.38511326909065247"
"autumn-sweep-31","finished","-","","","2025-06-03T22:20:48.000Z","2265","","16","0.22185300061859348","20","64","5","0.0004854962750872745","","","","","","","","","","","","","","","","","","","","","","","","0.16676208193948225","","0.08807579890200537","0.1685892830744515","0.5976666808128357","0.6046514511108398","9","0.0004854962753597647","0.6638129353523254","0.5306553840637207","0.20307444036006927","0.580559253692627","0.570996105670929","0.6739516258239746","0.4761904776096344","0.19417475163936615"
"crisp-sweep-30","finished","-","","","2025-06-03T21:28:29.000Z","3135","","16","0.00598636611712805","20","16","3","0.0005403213412011228","","","","","","","","","","","","","","","","","","","","","","","","0.06285984683194211","","0.054995466877721944","0.04398667699673673","0.637666642665863","0.6774647235870361","13","0.0005403213435783982","0.6283047199249268","0.5841807723045349","0.4182848036289215","0.6111850738525391","0.64166259765625","0.6678854823112488","0.5271565318107605","0.5339806079864502"
"dulcet-sweep-29","finished","-","","","2025-06-03T21:02:06.000Z","1578","","32","0.43342408780950115","20","16","3","0.0001975755315955807","","","","","","","","","","","","","","","","","","","","","","","","0.15606204917440053","","0.19965776535868837","0.1673341929255577","0.5856666564941406","0.5809866786003113","6","0.0001975755294552073","0.6690309047698975","0.4888179004192352","0.12378640472888948","0.5752330422401428","0.5406947135925293","0.67866450548172","0.44999998807907104","0.1456310749053955"
"glorious-sweep-28","finished","-","","","2025-06-03T19:46:57.000Z","4501","","16","0.3343829487475727","20","64","5","0.0003667293173963302","","","","","","","","","","","","","","","","","","","","","","","","0.08335652319540612","","0.006982812494953739","0.1029029733036865","0.6416666507720947","0.6907210946083069","19","0.0003667293058242649","0.6191005706787109","0.5885588526725769","0.4328478872776031","0.6577895879745483","0.6987069249153137","0.626886785030365","0.587837815284729","0.5631067752838135"
